a  /ah /a
abbreviate  /ah b r iy v iy ey t /a bb r e v i a te  
abdomen  /ae b d ah m ah en /a b d o m e n
abides  /ah b ay d z /a b i de s
ability  /ah b ih el ih t iy /a b i l i t y
able  /ey b el /a b le  
ably  /ey b el iy /a b l y
abolish  /ah b ao el ih sh /a b o l i sh
aborigine  /ae b er ih jh ih en iy /a b or i g i n e
aborigines  /ae b er ih jh ih en iy z /a b or i g i n e s
about  /ah b aw t /a b ou t
above  /ah b ah v /a b o ve  
abruptly  /ah b r ah p t el iy /a b r u p t l y
absences  /ae b s ih en s ih z /a b s e n c e s
absent  /ae b s ih en t /a b s e n t
absolute  /ae b s ah el uw t /a b s o l u te  
absolution  /ae b s ah el uw sh ih en /a b s o l u * * tion
absorbed  /ah b s ao r b d /a b s o r b ed
absorption  /ah b s ao r p sh ih en /a b s o r p * * tion
absurd  /ah b s er d /a b s ur d
absurdly  /ah b s er d el iy /a b s ur d l y
abyss  /ah b ih s /a b y ss
academic  /ae k ih d eh m ih k /a c a d e m i c
accelerating  /ae k s eh el er ey t ih ng /a c c e l er a t i ng
accelerometer  /ae k s eh el er ao m ah t er /a c c e l er o m e t er
accelerometers  /ae k s eh el er ao m ah t er z /a c c e l er o m e t er s
accent  /ae k s eh en t /a c c e n t
accept  /ae k s eh p t /a c c e p t
acceptance  /ae k s eh p t ih en s /a c c e p t a n ce  
accepted  /ae k s eh p t ih d /a c c e p t e d
access  /ae k s eh s /a c c e ss
accident  /ae k s ih d ih en t /a c c i d e n t
acclaim  /ah k el ey m /a cc l ai m
acclaimed  /ah k el ey m d /a cc l ai m ed
accommodate  /ah k ao m ah d ey t /a cc o mm o d a te  
accomplish  /ah k ao m p el ih sh /a cc o m p l i sh
accomplished  /ah k ao m p el ih sh t /a cc o m p l i sh ed
accomplishments  /ah k ao m p el ih sh m ah en t s /a cc o m p l i sh m e n t s
according  /ah k ao r d ih ng /a cc o r d i ng
accordingly  /ah k ao r d ih ng el iy /a cc o r d i ng l y
account  /ah k aw en t /a cc ou n t
accounts  /ah k aw en t s /a cc ou n t s
accreditation  /ah k r eh d ih t ey sh ih en /a cc r e d i t a * * tion
accuracy  /ae k y er ah s iy /a cc u r a c y
accurate  /ae k y er ih t /a cc u r a te  
accusations  /ae k y uw z ey sh ih en z /a cc * u s a * * tion s
accuse  /ah k y uw z /a cc * u se  
accusingly  /ah k y uw z ih ng el iy /a cc * u s i ng l y
ace  /ey s /a ce  
aches  /ey k s /a che s
achieve  /ah ch iy v /a ch ie ve  
achieved  /ah ch iy v d /a ch ie v ed
acknowledge  /ae k en ao el ih jh /a ck n ow l e dge  
acknowledged  /ae k en ao el ih jh d /a ck n ow l e dg ed
acquire  /ah k w ay er /a cq u i re  
acres  /ey k er z /a c re s
acropolis  /ah k r ao p el ah s /a c r o po l i s
across  /ah k r ao s /a c r o ss
act  /ae k t /a c t
action  /ae k sh ih en /a c * * tion
actions  /ae k sh ih en z /a c * * tion s
activated  /ae k t ih v ey t ih d /a c t i v a t e d
activities  /ae k t ih v ah t iy z /a c t i v i t ie s
activity  /ae k t ih v ah t iy /a c t i v i t y
actor  /ae k t er /a c t or
actors  /ae k t er z /a c t or s
acts  /ae k t s /a c t s
actual  /ae k ch uw el /a c t u al
actually  /ae k ch uw el iy /a c t u all y
adage  /ae d ih jh /a d a ge  
adaptations  /ae d ae p t ey sh ih en z /a d a p t a * * tion s
add  /ae d /a dd
added  /ae d ih d /a dd e d
addition  /ah d ih sh ih en /a dd i * * tion
additives  /ae d ih t ih v z /a dd i t i ve s
address  /ae d r eh s /a dd r e ss
addressed  /ah d r eh s t /a dd r e ss ed
adequate  /ae d ih k w ih t /a d e q u a te  
adhesive  /ae d hh iy s ih v /a d h e s i ve  
adjourned  /ah jh er en d /a djo ur n ed
adjustable  /ah jh ah s t ah b el /a dj u s t a b le  
adjustments  /ah jh ah s t m ah en t s /a dj u s t m e n t s
administration  /ah d m ih en ih s t r ey sh ih en /a d m i n i s t r a * * tion
administrative  /ah d m ih en ih s t r ey t ih v /a d m i n i s t r a t i ve  
admire  /ah d m ay er /a d m i re  
admitted  /ah d m ih t ih d /a d m i tt e d
admitting  /ah d m ih t ih ng /a d m i tt i ng
adopted  /ah d ao p t ih d /a d o p t e d
adult  /ah d ah el t /a d u l t
adulterers  /ah d ah el t er er z /a d u l t er er s
adulthood  /ah d ah el t hh uh d /a d u l t h oo d
adults  /ah d ah el t s /a d u l t s
advance  /ae d v ae en s /a d v a n ce  
advanced  /ae d v ae en s t /a d v a n c ed
advances  /ae d v ae en s ih z /a d v a n c e s
advantage  /ae d v ae en t ih jh /a d v a n t a ge  
advantages  /ae d v ae en t ih jh ih z /a d v a n t a g e s
adventure  /ah d v eh en ch er /a d v e n t ure  
adventures  /ah d v eh en ch er z /a d v e n t ure s
advertising  /ae d v er t ay z ih ng /a d v er t i s i ng
advice  /ah d v ay s /a d v i ce  
advisable  /ah d v ay z ah b el /a d v i s a b le  
advised  /ah d v ay z d /a d v i s ed
advisement  /ah d v ay z m ah en t /a d v i se m e n t
aerial  /ae r iy el /ae r i al
affect  /ah f eh k t /a ff e c t
affectionate  /ah f eh k sh ih en ih t /a ff e c * * tion a te  
affirmative  /ah f er m ah t ih v /a ff ir m a t i ve  
afloat  /ah f el ow t /a f l oa t
afraid  /ah f r ey d /a f r ai d
after  /ae f t er /a f t er
afternoon  /ae f t er en uw en /a f t er n oo n
afterwards  /ae f t er w er d z /a f t er w ar d s
again  /ah g eh en /a g ai n
against  /ah g eh en s t /a g ai n s t
age  /ey jh /a ge  
agency  /ey jh ih en s iy /a g e n c y
agenda  /ah jh eh en d ah /a g e n d a
agents  /ey jh ih en t s /a g e n t s
agglomeration  /ah g el ao m er ey sh ih en /a gg l o m er a * * tion
aggressive  /ah g r eh s ih v /a gg r e ss i ve  
aglow  /ah g el ow /a g l ow  
ago  /ah g ow /a g o
agony  /ae g ih en iy /a g o n y
